,,fold,accuracy,precision,recall,auc_roc
ANN,0,1,0.9783783783783784,0.9783645577395579,0.9783783783783784,0.9996530677105232
ANN,1,2,0.7567567567567568,0.8130680738275674,0.7567567567567568,0.9319106111628782
ANN,2,3,0.6216216216216216,0.6461283101283102,0.6216216216216216,0.8723516935241912
ANN,3,4,0.7297297297297297,0.7753053475543676,0.7297297297297297,0.907082179298304
ANN,4,5,0.657608695652174,0.6682727463160043,0.657608695652174,0.8502204918242561
DNN,0,1,0.6432432432432432,0.6253484834147371,0.6432432432432432,0.9186182723723931
DNN,1,2,0.7621621621621621,0.8180989233620813,0.7621621621621621,0.9555595769584571
DNN,2,3,0.7297297297297297,0.7897675269254216,0.7297297297297297,0.9417153277841529
DNN,3,4,0.7567567567567568,0.7721276567178207,0.7567567567567568,0.9302957638616259
DNN,4,5,0.7391304347826086,0.7387701684339704,0.7391304347826086,0.9233623072923458
CNN,0,1,0.4810810810810811,0.46817139924734863,0.4810810810810811,0.6829394748845982
CNN,1,2,0.5459459459459459,0.4625796880935275,0.5459459459459459,0.7356159756130509
CNN,2,3,0.4756756756756757,0.4890813651683217,0.4756756756756757,0.6819405575459454
CNN,3,4,0.518918918918919,0.35622553808237717,0.518918918918919,0.6764271524224469
CNN,4,5,0.4673913043478261,0.414097943692742,0.4673913043478261,0.6286502498796486
LSTM,0,1,0.4594594594594595,0.41953058321479375,0.4594594594594595,0.6550055210799531
LSTM,1,2,0.5675675675675675,0.5654397107227296,0.5675675675675675,0.7419898459988179
LSTM,2,3,0.5081081081081081,0.34176904176904177,0.5081081081081081,0.7217979013805621
LSTM,3,4,0.518918918918919,0.4374973611752595,0.518918918918919,0.7268598659297233
LSTM,4,5,0.5108695652173914,0.5114209199747952,0.5108695652173914,0.6433247476027525
